term;course_code;title;topic;section;meet;day;start_time;end_time;venue;instructor;num_instructors;start_date;end_date;class_number;
2023-24 Term 1 / 1;LAW106_606;Legal Research & Writing I;;G2;1;WED;15:30;18:45;YPHSL Seminar Room 2-03;ONG EE ING;1;14/08/2023;19/11/2023;1385;
2023-24 Term 1 / 1;LAW106_606;Legal Research & Writing I;;G3;1;WED;12:00;15:15;YPHSL Seminar Room 3-02;DORCAS QUEK;1;14/08/2023;19/11/2023;1386;
2023-24 Term 1 / 1;LAW106_606;Legal Research & Writing I;;G4;1;WED;15:30;18:45;YPHSL Seminar Room 3-02;DORCAS QUEK;1;14/08/2023;19/11/2023;1387;
2023-24 Term 1 / 1;LAW106_606;Legal Research & Writing I;;G5;1;WED;15:30;18:45;YPHSL Classroom 1-02;FONG WEI LI;1;14/08/2023;19/11/2023;1388;
2023-24 Term 1 / 1;LAW106_606;Legal Research & Writing I;;G6;1;TUE;19:00;22:15;YPHSL Seminar Room 2-03;LEO ZHI WEI;1;14/08/2023;19/11/2023;1389;
2023-24 Term 1 / 1;LAW106_606;Legal Research & Writing I;;G61;1;TUE;08:15;11:30;YPHSL Seminar Room 2-03;ONG EE ING;1;14/08/2023;19/11/2023;1222;
2023-24 Term 1 / 1;LAW106_606;Legal Research & Writing I;;G62;1;WED;08:15;11:30;YPHSL Seminar Room 2-03;ONG EE ING;1;14/08/2023;19/11/2023;2248;
2023-24 Term 1 / 1;LAW106_606;Legal Research & Writing I;;G7;1;WED;19:00;22:15;YPHSL Classroom 1-02;KENNY YANG;1;14/08/2023;19/11/2023;1661;
2023-24 Term 1 / 1;LAW106_606;Legal Research & Writing I;;G8;1;MON;19:00;22:15;YPHSL Seminar Room 2-03;ANDREW CHIA;1;14/08/2023;19/11/2023;1229;
2023-24 Term 1 / 1;LAW108_608;The Singapore Legal System;;G1;1;FRI;13:45;15:15;YPHSL Seminar Room 3-10;ALVIN SEE WEI-LIANG;1;14/08/2023;19/11/2023;1430;
2023-24 Term 1 / 1;LAW108_608;The Singapore Legal System;;G2;1;THU;19:00;20:30;YPHSL Seminar Room 3-11;IAN MAH;1;14/08/2023;19/11/2023;1431;
2023-24 Term 1 / 1;LAW108_608;The Singapore Legal System;;G3;1;MON;10:00;11:30;YPHSL Seminar Room 3-12;ONG, BENJAMIN JOSHUA;1;14/08/2023;19/11/2023;1432;
2023-24 Term 1 / 1;LAW108_608;The Singapore Legal System;;G4;1;THU;12:00;13:30;YPHSL Seminar Room 3-10;EDWARD TI;1;14/08/2023;19/11/2023;1433;
2023-24 Term 1 / 1;LAW108_608;The Singapore Legal System;;G5;1;MON;17:15;18:45;YPHSL Seminar Room 3-11;BRYAN LEOW CHIN SENG;1;14/08/2023;19/11/2023;2251;
2023-24 Term 1 / 1;LAW108_608;The Singapore Legal System;;G61;1;THU;13:45;15:15;YPHSL Seminar Room 3-10;EDWARD TI;1;14/08/2023;19/11/2023;1434;
2023-24 Term 1 / 1;LAW201_621;Corporate Law;;G50;1;TUE;15:30;18:45;YPHSL Seminar Room 3-01;STEPHEN BULL;1;14/08/2023;19/11/2023;2136;
2023-24 Term 1 / 1;LAW201_621;Corporate Law;;G50;2;THU;08:15;09:45;YPHSL Seminar Room 3-01;STEPHEN BULL;1;14/08/2023;19/11/2023;2136;
2023-24 Term 1 / 1;LAW201_621;Corporate Law;;G61;1;TUE;08:15;11:30;YPHSL Seminar Room 3-01;STEPHEN BULL;1;14/08/2023;19/11/2023;1956;
2023-24 Term 1 / 1;LAW201_621;Corporate Law;;G61;2;THU;10:00;11:30;YPHSL Seminar Room 3-01;STEPHEN BULL;1;14/08/2023;19/11/2023;1956;
2023-24 Term 1 / 1;LAW202_622;Law of Property;;G1;1;MON;08:15;10:30;YPHSL Seminar Room 3-10;EDWARD TI;1;14/08/2023;19/11/2023;1957;
2023-24 Term 1 / 1;LAW202_622;Law of Property;;G1;2;THU;08:15;09:45;YPHSL Seminar Room 3-10;EDWARD TI;1;14/08/2023;19/11/2023;1957;
2023-24 Term 1 / 1;LAW202_622;Law of Property;;G2;1;MON;12:00;14:15;YPHSL Seminar Room 3-10;EDWARD TI;1;14/08/2023;19/11/2023;1958;
2023-24 Term 1 / 1;LAW202_622;Law of Property;;G2;2;THU;10:00;11:30;YPHSL Seminar Room 3-10;EDWARD TI;1;14/08/2023;19/11/2023;1958;
2023-24 Term 1 / 1;LAW202_622;Law of Property;;G3;1;MON;15:30;17:45;YPHSL Seminar Room 3-10;EDWARD TI;1;14/08/2023;19/11/2023;1959;
2023-24 Term 1 / 1;LAW202_622;Law of Property;;G3;2;THU;15:30;17:00;YPHSL Seminar Room 3-10;EDWARD TI;1;14/08/2023;19/11/2023;1959;
2023-24 Term 1 / 1;LAW202_622;Law of Property;;G4;1;WED;15:30;17:45;YPHSL Seminar Room 3-10;ALVIN SEE WEI-LIANG;1;14/08/2023;19/11/2023;1960;
2023-24 Term 1 / 1;LAW202_622;Law of Property;;G4;2;FRI;12:00;13:30;YPHSL Seminar Room 3-10;ALVIN SEE WEI-LIANG;1;14/08/2023;19/11/2023;1960;
2023-24 Term 1 / 1;LAW202_622;Law of Property;;G61;1;WED;12:00;14:15;YPHSL Seminar Room 3-10;ALVIN SEE WEI-LIANG;1;14/08/2023;19/11/2023;1961;
2023-24 Term 1 / 1;LAW202_622;Law of Property;;G61;2;FRI;10:00;11:30;YPHSL Seminar Room 3-10;ALVIN SEE WEI-LIANG;1;14/08/2023;19/11/2023;1961;
2023-24 Term 1 / 1;LAW301_631;Legal Theory & Philosophy;;G1;1;WED;12:00;15:15;YPHSL Seminar Room 2-16;TAN SEOW HON;1;14/08/2023;19/11/2023;1281;
