term;course_code;title;topic;section;meet;day;start_time;end_time;venue;instructor;num_instructors;start_date;end_date;class_number;
2022-23 Term 2 / 1;ACCT101;Financial Accounting;;G1;1;MON;08:15;11:30;SOA Seminar Room 2-4;GRACE FAN;1;09/01/2023;16/04/2023;1037;
2022-23 Term 2 / 1;ACCT101;Financial Accounting;;G10;1;FRI;08:15;11:30;SOA Seminar Room 3-4;CHARLES CHEN;1;09/01/2023;16/04/2023;1146;
2022-23 Term 2 / 1;ACCT101;Financial Accounting;;G11;1;WED;08:15;11:30;SOA Seminar Room 2-3;CHARMAYNE HIGHFIELD;1;09/01/2023;16/04/2023;1150;
2022-23 Term 2 / 1;ACCT101;Financial Accounting;;G12;1;WED;12:00;15:15;SOA Seminar Room 2-3;CHARMAYNE HIGHFIELD;1;09/01/2023;16/04/2023;1195;
2022-23 Term 2 / 1;ACCT101;Financial Accounting;;G2;1;MON;15:30;18:45;SOA Seminar Room 2-4;GRACE FAN;1;09/01/2023;16/04/2023;1038;
2022-23 Term 2 / 1;ACCT101;Financial Accounting;;G3;1;MON;15:30;18:45;SOA Seminar Room 2-3;LIN PENGKAI;1;09/01/2023;16/04/2023;1039;
2022-23 Term 2 / 1;ACCT101;Financial Accounting;;G4;1;TUE;15:30;18:45;SOA Seminar Room 2-3;LIN PENGKAI;1;09/01/2023;16/04/2023;1040;
2022-23 Term 2 / 1;ACCT101;Financial Accounting;;G5;1;WED;15:30;18:45;SOA Seminar Room 1-1;LIN PENGKAI;1;09/01/2023;16/04/2023;1041;
2022-23 Term 2 / 1;ACCT101;Financial Accounting;;G6;1;TUE;12:00;15:15;SOA Seminar Room 3-5;NG RUIMIN, SHAPHAN HARUN;1;09/01/2023;16/04/2023;1042;
2022-23 Term 2 / 1;ACCT101;Financial Accounting;;G7;1;TUE;15:30;18:45;SOA Seminar Room 3-5;NG RUIMIN, SHAPHAN HARUN;1;09/01/2023;16/04/2023;1043;
2022-23 Term 2 / 1;ACCT101;Financial Accounting;;G8;1;WED;12:00;15:15;SOA Seminar Room 2-4;NG RUIMIN, SHAPHAN HARUN;1;09/01/2023;16/04/2023;1064;
2022-23 Term 2 / 1;ACCT101;Financial Accounting;;G9;1;TUE;08:15;11:30;SOA Seminar Room 3-3;AMANDA AW YONG ZHI XIN;1;09/01/2023;16/04/2023;1110;
2022-23 Term 2 / 1;ACCT101;Financial Accounting;;SG81;1;;;;;GRACE FAN;1;09/01/2023;16/04/2023;2751;
2022-23 Term 2 / 1;ACCT101;Financial Accounting;;SG82;1;;;;;CHARLES CHEN;1;09/01/2023;16/04/2023;2752;
2022-23 Term 2 / 1;ACCT101;Financial Accounting;;SG91;;;;;;;;;;2763;
2022-23 Term 2 / 1;ACCT102;Management Accounting;;G1;1;MON;12:00;15:15;SOA Seminar Room 2-5;KATHERINE YUEN;1;09/01/2023;16/04/2023;1044;
2022-23 Term 2 / 1;ACCT102;Management Accounting;;G2;1;TUE;08:15;11:30;SOA Seminar Room 2-3;KATHERINE YUEN;1;09/01/2023;16/04/2023;1053;
2022-23 Term 2 / 1;ACCT102;Management Accounting;;G3;1;TUE;15:30;18:45;SOA Seminar Room 2-5;KATHERINE YUEN;1;09/01/2023;16/04/2023;1054;
2022-23 Term 2 / 1;ACCT102;Management Accounting;;G4;1;WED;12:00;15:15;SOA Seminar Room 3-5;FANG BINGXU;1;09/01/2023;16/04/2023;1257;
2022-23 Term 2 / 1;ACCT102;Management Accounting;;G5;1;THU;15:30;18:45;SOA Seminar Room 1-1;FANG BINGXU;1;09/01/2023;16/04/2023;1218;
2022-23 Term 2 / 1;ACCT102;Management Accounting;;G6;1;FRI;12:00;15:15;SOA Seminar Room 3-5;FANG BINGXU;1;09/01/2023;16/04/2023;1063;
2022-23 Term 2 / 1;ACCT102;Management Accounting;;G7;1;WED;08:15;11:30;SOA Seminar Room 3-4;KELLY NGO;1;09/01/2023;16/04/2023;1117;
2022-23 Term 2 / 1;ACCT102;Management Accounting;;G8;1;WED;15:30;18:45;SOA Seminar Room 2-5;KELLY NGO;1;09/01/2023;16/04/2023;1118;
2022-23 Term 2 / 1;ACCT102;Management Accounting;;SG81;1;;;;;KATHERINE YUEN;1;09/01/2023;16/04/2023;2753;
2022-23 Term 2 / 1;ACCT102;Management Accounting;;SG82;1;;;;;KELLY NGO;1;09/01/2023;16/04/2023;2754;
2022-23 Term 2 / 1;ACCT112;Management Accounting;;G1;1;MON;08:15;11:30;SOA Seminar Room 1-1;AN-PING LIN;1;09/01/2023;16/04/2023;1045;
2022-23 Term 2 / 1;ACCT112;Management Accounting;;G2;1;MON;15:30;18:45;SOA Seminar Room 3-5;AN-PING LIN;1;09/01/2023;16/04/2023;1119;
2022-23 Term 2 / 1;ACCT112;Management Accounting;;G3;1;TUE;08:15;11:30;SOA Seminar Room 3-4;AN-PING LIN;1;09/01/2023;16/04/2023;1120;
2022-23 Term 2 / 1;ACCT112;Management Accounting;;G4;1;TUE;15:30;18:45;SOA Seminar Room 3-4;AN-PING LIN;1;09/01/2023;16/04/2023;1121;
2022-23 Term 2 / 1;ACCT112;Management Accounting;;G5;1;WED;12:00;15:15;SOA Seminar Room 3-4;PRASART JONGJAROENKAMOL;1;09/01/2023;16/04/2023;1353;
2022-23 Term 2 / 1;ACCT112;Management Accounting;;G6;1;WED;15:30;18:45;SOA Seminar Room 3-4;PRASART JONGJAROENKAMOL;1;09/01/2023;16/04/2023;1354;
2022-23 Term 2 / 1;ACCT112;Management Accounting;;G7;1;THU;08:15;11:30;SOA Seminar Room 3-5;PRASART JONGJAROENKAMOL;1;09/01/2023;16/04/2023;1355;
2022-23 Term 2 / 1;ACCT112;Management Accounting;;G8;1;THU;12:00;15:15;SOA Seminar Room 3-5;PRASART JONGJAROENKAMOL;1;09/01/2023;16/04/2023;1356;
2022-23 Term 2 / 1;ACCT201;Corp Reporting & Fin Analysis;;G1;1;TUE;15:30;18:45;SOA Seminar Room 3-3;CHEN CHIH-YING;1;09/01/2023;16/04/2023;1248;
2022-23 Term 2 / 1;ACCT201;Corp Reporting & Fin Analysis;;G2;1;WED;15:30;18:45;SOA Seminar Room 2-3;CHEN CHIH-YING;1;09/01/2023;16/04/2023;1125;
2022-23 Term 2 / 1;ACCT201;Corp Reporting & Fin Analysis;;G3;1;THU;12:00;15:15;SOA Seminar Room 2-3;CHEN CHIH-YING;1;09/01/2023;16/04/2023;1147;
2022-23 Term 2 / 1;ACCT201;Corp Reporting & Fin Analysis;;G4;1;THU;19:00;22:15;SOA Seminar Room 2-3;CHEN CHIH-YING;1;09/01/2023;16/04/2023;1151;
2022-23 Term 2 / 1;ACCT201;Corp Reporting & Fin Analysis;;G5;1;FRI;12:00;15:15;SOA Seminar Room 3-4;CHARLES CHEN;1;09/01/2023;16/04/2023;1804;
2022-23 Term 2 / 1;ACCT201;Corp Reporting & Fin Analysis;;SG81;1;;;;;ZANG YOONSEOK;1;09/01/2023;16/04/2023;2765;
2022-23 Term 2 / 1;ACCT201;Corp Reporting & Fin Analysis;;SG82;1;;;;;YOUNG JUN CHO;1;09/01/2023;16/04/2023;2766;
2022-23 Term 2 / 1;ACCT221;Accounting Information Systems;;G1;1;MON;08:15;11:30;SOA Seminar Room 3-4;WONG SUAY PENG;1;09/01/2023;16/04/2023;1046;
2022-23 Term 2 / 1;ACCT221;Accounting Information Systems;;G2;1;TUE;12:00;15:15;SOA Seminar Room 2-3;WONG SUAY PENG;1;09/01/2023;16/04/2023;1047;
2022-23 Term 2 / 1;ACCT221;Accounting Information Systems;;G3;1;WED;08:15;11:30;SOA Seminar Room 1-1;WONG SUAY PENG;1;09/01/2023;16/04/2023;1124;
2022-23 Term 2 / 1;ACCT221;Accounting Information Systems;;G4;1;WED;12:00;15:15;SOA Seminar Room 1-1;WONG SUAY PENG;1;09/01/2023;16/04/2023;2230;
2022-23 Term 2 / 1;ACCT221;Accounting Information Systems;;SG81;1;;;;;SEOW POH SUN;1;09/01/2023;16/04/2023;2762;
2022-23 Term 2 / 1;ACCT223;Taxation;;G1;1;MON;12:00;15:15;SOA Seminar Room 1-1;JIMMY LEE KIAT BEE;1;09/01/2023;16/04/2023;1048;
2022-23 Term 2 / 1;ACCT223;Taxation;;G2;1;TUE;15:30;18:45;SOA Seminar Room 3-1;JIMMY LEE KIAT BEE;1;09/01/2023;16/04/2023;1049;
2022-23 Term 2 / 1;ACCT223;Taxation;;G3;1;THU;12:00;15:15;SOA Seminar Room 3-1;JIMMY LEE KIAT BEE;1;09/01/2023;16/04/2023;1244;
2022-23 Term 2 / 1;ACCT223;Taxation;;G4;1;FRI;12:00;15:15;SOA Seminar Room 2-3;JIMMY LEE KIAT BEE;1;09/01/2023;16/04/2023;1062;
2022-23 Term 2 / 1;ACCT223;Taxation;;SG81;1;;;;;SUM YEE LOONG;1;09/01/2023;16/04/2023;2767;
2022-23 Term 2 / 1;ACCT224;Financial Reporting & Analysis;;G1;1;MON;15:30;18:45;SOA Seminar Room 3-2;GOH BENG WEE;1;09/01/2023;16/04/2023;1206;
