term;course_code;title;topic;section;meet;day;start_time;end_time;venue;instructor;num_instructors;start_date;end_date;class_number;
2022-23 Term 1 / 1;LAW433;Financial & Securities Reg;;G61;1;TUE;15:30;18:45;YPHSL Seminar Room 3-01;AURELIO GURREA MARTINEZ;1;15/08/2022;20/11/2022;2209;
2022-23 Term 1 / 1;LAW433;Financial & Securities Reg;;SG81;1;;;;;AURELIO GURREA MARTINEZ;1;15/08/2022;20/11/2022;2617;
2022-23 Term 1 / 1;LAW445;Principles of Law of Restitutn;;G1;1;THU;08:15;11:30;YPHSL Seminar Room 3-10;TANG HANG WU;1;15/08/2022;20/11/2022;1697;
2022-23 Term 1 / 1;LAW445;Principles of Law of Restitutn;;G61;1;THU;08:15;11:30;YPHSL Seminar Room 3-10;TANG HANG WU;1;15/08/2022;20/11/2022;1698;
2022-23 Term 1 / 1;LAW449;Legal & Com Principles in PFT;;G1;1;TUE;19:00;22:15;YPHSL Seminar Room 3-02;JAMES HARRIS;1;15/08/2022;20/11/2022;2222;
2022-23 Term 1 / 1;LAW449;Legal & Com Principles in PFT;;G1;1;TUE;19:00;22:15;YPHSL Seminar Room 3-02;BRUCE SCHULBERG;2;15/08/2022;20/11/2022;2222;
2022-23 Term 1 / 1;LAW449;Legal & Com Principles in PFT;;G61;1;TUE;19:00;22:15;YPHSL Seminar Room 3-02;JAMES HARRIS;1;15/08/2022;20/11/2022;2223;
2022-23 Term 1 / 1;LAW449;Legal & Com Principles in PFT;;G61;1;TUE;19:00;22:15;YPHSL Seminar Room 3-02;BRUCE SCHULBERG;2;15/08/2022;20/11/2022;2223;
2022-23 Term 1 / 1A;LAW451;Pre-trial Practice in C L;;G1;1;TUE;19:00;22:15;YPHSL Seminar Room 3-01;LIONEL LEO;1;15/08/2022;02/10/2022;2224;
2022-23 Term 1 / 1A;LAW451;Pre-trial Practice in C L;;G1;1;TUE;19:00;22:15;YPHSL Seminar Room 3-01;FRANK OH SHENG LOONG;2;15/08/2022;02/10/2022;2224;
2022-23 Term 1 / 1A;LAW451;Pre-trial Practice in C L;;G1;1;TUE;19:00;22:15;YPHSL Seminar Room 3-01;TIONG TECK WEE;3;15/08/2022;02/10/2022;2224;
2022-23 Term 1 / 1A;LAW451;Pre-trial Practice in C L;;G61;1;TUE;19:00;22:15;YPHSL Seminar Room 3-01;LIONEL LEO;1;15/08/2022;02/10/2022;2225;
2022-23 Term 1 / 1A;LAW451;Pre-trial Practice in C L;;G61;1;TUE;19:00;22:15;YPHSL Seminar Room 3-01;FRANK OH SHENG LOONG;2;15/08/2022;02/10/2022;2225;
2022-23 Term 1 / 1A;LAW451;Pre-trial Practice in C L;;G61;1;TUE;19:00;22:15;YPHSL Seminar Room 3-01;TIONG TECK WEE;3;15/08/2022;02/10/2022;2225;
2022-23 Term 1 / 1;LAW462;Intro to Civil Procedure;;G1;1;WED;18:00;19:30;YPHSL Seminar Room 2-16;TAN BOON HENG;1;15/08/2022;20/11/2022;2040;
2022-23 Term 1 / 1;LAW462;Intro to Civil Procedure;;G61;1;WED;18:00;19:30;YPHSL Seminar Room 2-16;TAN BOON HENG;1;15/08/2022;20/11/2022;2041;
2022-23 Term 1 / 1;LAW478;Professional Mediation Skills;SMU-X;G1;1;WED;15:30;18:45;YPHSL Seminar Room 3-02;NADJA ALEXANDER;1;15/08/2022;20/11/2022;2210;
2022-23 Term 1 / 1;LAW478;Professional Mediation Skills;SMU-X;G1;1;WED;15:30;18:45;YPHSL Seminar Room 3-02;ANGELA RAY TUMANAN ABALA;2;15/08/2022;20/11/2022;2210;
2022-23 Term 1 / 1;LAW478;Professional Mediation Skills;SMU-X;G61;1;WED;15:30;18:45;YPHSL Seminar Room 3-02;NADJA ALEXANDER;1;15/08/2022;20/11/2022;2211;
2022-23 Term 1 / 1;LAW478;Professional Mediation Skills;SMU-X;G61;1;WED;15:30;18:45;YPHSL Seminar Room 3-02;ANGELA RAY TUMANAN ABALA;2;15/08/2022;20/11/2022;2211;
2022-23 Term 1 / 1;LAW481;Intl Mediation Law & Practice;SMU-X;G1;1;THU;12:00;15:15;YPHSL Classroom 1-02;NADJA ALEXANDER;1;15/08/2022;20/11/2022;2212;
2022-23 Term 1 / 1;LAW481;Intl Mediation Law & Practice;SMU-X;G1;1;THU;12:00;15:15;YPHSL Classroom 1-02;RACHEL TAN XI'EN;2;15/08/2022;20/11/2022;2212;
2022-23 Term 1 / 1;LAW481;Intl Mediation Law & Practice;SMU-X;G61;1;THU;12:00;15:15;YPHSL Classroom 1-02;NADJA ALEXANDER;1;15/08/2022;20/11/2022;2213;
2022-23 Term 1 / 1;LAW481;Intl Mediation Law & Practice;SMU-X;G61;1;THU;12:00;15:15;YPHSL Classroom 1-02;RACHEL TAN XI'EN;2;15/08/2022;20/11/2022;2213;
2022-23 Term 1 / 1;LAW486;Privacy & Data Protection Law;;G1;1;FRI;12:00;15:15;YPHSL Seminar Room 3-02;KAM WAI WARREN BARTHOLOMEW CHIK;1;15/08/2022;20/11/2022;1691;
2022-23 Term 1 / 1;LAW486;Privacy & Data Protection Law;;G1;1;FRI;12:00;15:15;YPHSL Seminar Room 3-02;LANX GOH;2;15/08/2022;20/11/2022;1691;
2022-23 Term 1 / 1;LAW486;Privacy & Data Protection Law;;G50;1;THU;19:00;22:15;YPHSL Seminar Room 3-02;KAM WAI WARREN BARTHOLOMEW CHIK;1;15/08/2022;20/11/2022;2205;
2022-23 Term 1 / 1;LAW486;Privacy & Data Protection Law;;G50;1;THU;19:00;22:15;YPHSL Seminar Room 3-02;LANX GOH;2;15/08/2022;20/11/2022;2205;
2022-23 Term 1 / 1;LAW486;Privacy & Data Protection Law;;G61;1;FRI;12:00;15:15;YPHSL Seminar Room 3-02;KAM WAI WARREN BARTHOLOMEW CHIK;1;15/08/2022;20/11/2022;1692;
2022-23 Term 1 / 1;LAW486;Privacy & Data Protection Law;;G61;1;FRI;12:00;15:15;YPHSL Seminar Room 3-02;LANX GOH;2;15/08/2022;20/11/2022;1692;
2022-23 Term 1 / 1;LAW491;Law and Digital Commerce;SMU-X;G1;1;FRI;12:00;15:15;YPHSL Classroom 1-02;LOCKNIE HSU;1;15/08/2022;20/11/2022;2214;
2022-23 Term 1 / 1;LAW491;Law and Digital Commerce;SMU-X;G61;1;FRI;12:00;15:15;YPHSL Classroom 1-02;LOCKNIE HSU;1;15/08/2022;20/11/2022;2215;
2022-23 Term 1 / 1;LAW498;State Courts Clerkship Program;;G1;1;THU;17:30;19:00;;CHAN WING CHEONG;1;15/08/2022;20/11/2022;1719;
2022-23 Term 1 / 1;LAW498;State Courts Clerkship Program;;G61;1;THU;17:30;19:00;;CHAN WING CHEONG;1;15/08/2022;20/11/2022;1720;
2022-23 Term 1 / 1;LGST101;Business Law;;G1;1;WED;12:00;15:15;YPHSL Seminar Room 3-02;KAM WAI WARREN BARTHOLOMEW CHIK;1;15/08/2022;20/11/2022;1042;
2022-23 Term 1 / 1;LGST101;Business Law;;G10;1;WED;19:00;22:15;YPHSL Seminar Room 3-09;IAN MAH;1;15/08/2022;20/11/2022;1253;
2022-23 Term 1 / 1;LGST101;Business Law;;G11;1;MON;08:15;11:30;YPHSL Seminar Room 3-02;KOH BOON TIONG DAVID;1;15/08/2022;20/11/2022;1255;
2022-23 Term 1 / 1;LGST101;Business Law;;G12;1;TUE;08:15;11:30;YPHSL Seminar Room 3-01;KOH BOON TIONG DAVID;1;15/08/2022;20/11/2022;1758;
2022-23 Term 1 / 1;LGST101;Business Law;;G13;1;MON;19:00;22:15;YPHSL Seminar Room 3-09;GEROME GOH;1;15/08/2022;20/11/2022;1794;
2022-23 Term 1 / 1;LGST101;Business Law;;G14;1;THU;19:00;22:15;YPHSL Seminar Room 3-09;TERENCE ANG;1;15/08/2022;20/11/2022;1795;
2022-23 Term 1 / 1;LGST101;Business Law;;G2;1;THU;15:30;18:45;YPHSL Seminar Room 3-11;KOH BOON TIONG DAVID;1;15/08/2022;20/11/2022;1043;
