term;course_code;title;topic;section;meet;day;start_time;end_time;venue;instructor;num_instructors;start_date;end_date;class_number;
2021-22 Term 2 / 1;ACCT001;Acctg Study Mission (AS);Thailand (Bangkok);G1;1;TUE;15:30;18:45;SOA Seminar Room 2-2;PRASART JONGJAROENKAMOL;1;10/01/2022;17/04/2022;1397;
2021-22 Term 2 / 1;ACCT009;Ovsea Proj Expc (Acctg in AS);SMU-X: Jakarta;G1;1;MON;12:00;15:15;SOA Seminar Room 2-4;YUANTO KUSNADI;1;10/01/2022;17/04/2022;2346;
2021-22 Term 2 / 1;ACCT009;Ovsea Proj Expc (Acctg in AS);SMU-X: Jakarta;G1;1;MON;12:00;15:15;SOA Seminar Room 2-4;KEVIN LEE;2;10/01/2022;17/04/2022;2346;
2021-22 Term 2 / 1;ACCT101;Financial Accounting;;G1;1;TUE;08:15;11:30;SOA Seminar Room 2-4;GRACE FAN;1;10/01/2022;17/04/2022;1084;
2021-22 Term 2 / 1;ACCT101;Financial Accounting;;G10;1;THU;08:15;11:30;SOA Seminar Room 3-4;TAN LAY KHIM;1;10/01/2022;17/04/2022;1201;
2021-22 Term 2 / 1;ACCT101;Financial Accounting;;G11;1;THU;12:00;15:15;SOA Seminar Room 3-4;TAN LAY KHIM;1;10/01/2022;17/04/2022;1205;
2021-22 Term 2 / 1;ACCT101;Financial Accounting;;G12;1;FRI;08:15;11:30;SOA Seminar Room 3-4;TAN LAY KHIM;1;10/01/2022;17/04/2022;1251;
2021-22 Term 2 / 1;ACCT101;Financial Accounting;;G2;1;TUE;15:30;18:45;SOA Seminar Room 2-3;GRACE FAN;1;10/01/2022;17/04/2022;1085;
2021-22 Term 2 / 1;ACCT101;Financial Accounting;;G3;1;MON;12:00;15:15;SOA Seminar Room 3-4;GRACE FAN;1;10/01/2022;17/04/2022;1086;
2021-22 Term 2 / 1;ACCT101;Financial Accounting;;G4;1;MON;15:30;18:45;SOA Seminar Room 2-4;LIN PENGKAI;1;10/01/2022;17/04/2022;1087;
2021-22 Term 2 / 1;ACCT101;Financial Accounting;;G5;1;TUE;15:30;18:45;SOA Seminar Room 2-4;LIN PENGKAI;1;10/01/2022;17/04/2022;1088;
2021-22 Term 2 / 1;ACCT101;Financial Accounting;;G6;1;WED;15:30;18:45;SOA Seminar Room 2-4;LIN PENGKAI;1;10/01/2022;17/04/2022;1089;
2021-22 Term 2 / 1;ACCT101;Financial Accounting;;G7;1;WED;08:15;11:30;SOA Seminar Room 2-4;NG RUIMIN, SHAPHAN HARUN;1;10/01/2022;17/04/2022;1090;
2021-22 Term 2 / 1;ACCT101;Financial Accounting;;G8;1;THU;08:15;11:30;SOA Seminar Room 2-4;NG RUIMIN, SHAPHAN HARUN;1;10/01/2022;17/04/2022;1111;
2021-22 Term 2 / 1;ACCT101;Financial Accounting;;G9;1;THU;15:30;18:45;SOA Seminar Room 3-4;NG RUIMIN, SHAPHAN HARUN;1;10/01/2022;17/04/2022;1157;
2021-22 Term 2 / 1;ACCT101;Financial Accounting;;SG81;1;;;;;TAN LAY KHIM;1;10/01/2022;17/04/2022;2719;
2021-22 Term 2 / 1;ACCT101;Financial Accounting;;SG82;1;;;;;CHARMAYNE HIGHFIELD;1;10/01/2022;17/04/2022;2838;
2021-22 Term 2 / 1;ACCT101;Financial Accounting;;SG83;1;;;;;KELLY NGO;1;10/01/2022;17/04/2022;2839;
2021-22 Term 2 / 1;ACCT101;Financial Accounting;;SG84;1;;;;;YIN WANG;1;10/01/2022;17/04/2022;2840;
2021-22 Term 2 / 1;ACCT101;Financial Accounting;;SG85;1;;;;;TAN LAY KHIM;1;10/01/2022;17/04/2022;2841;
2021-22 Term 2 / 1;ACCT102;Management Accounting;;G1;1;TUE;12:00;15:15;SOA Seminar Room 3-5;KATHERINE YUEN;1;10/01/2022;17/04/2022;1091;
2021-22 Term 2 / 1;ACCT102;Management Accounting;;G2;1;WED;08:15;11:30;SOA Seminar Room 3-5;KATHERINE YUEN;1;10/01/2022;17/04/2022;1100;
2021-22 Term 2 / 1;ACCT102;Management Accounting;;G3;1;WED;15:30;18:45;SOA Seminar Room 3-4;KATHERINE YUEN;1;10/01/2022;17/04/2022;1101;
2021-22 Term 2 / 1;ACCT102;Management Accounting;;G4;1;THU;08:15;11:30;SOA Seminar Room 3-3;FANG BINGXU;1;10/01/2022;17/04/2022;1325;
2021-22 Term 2 / 1;ACCT102;Management Accounting;;G5;1;THU;15:30;18:45;SOA Seminar Room 3-5;FANG BINGXU;1;10/01/2022;17/04/2022;1278;
2021-22 Term 2 / 1;ACCT102;Management Accounting;;G6;1;FRI;12:00;15:15;SOA Seminar Room 3-1;FANG BINGXU;1;10/01/2022;17/04/2022;1110;
2021-22 Term 2 / 1;ACCT102;Management Accounting;;G7;1;TUE;08:15;11:30;SOA Seminar Room 3-4;KELLY NGO;1;10/01/2022;17/04/2022;1169;
2021-22 Term 2 / 1;ACCT102;Management Accounting;;G8;1;TUE;15:30;18:45;SOA Seminar Room 3-2;KELLY NGO;1;10/01/2022;17/04/2022;1170;
2021-22 Term 2 / 1;ACCT102;Management Accounting;;SG81;1;;;;;KATHERINE YUEN;1;10/01/2022;17/04/2022;2720;
2021-22 Term 2 / 1;ACCT105;Financial Accounting for Law;;G1;1;WED;08:15;11:30;SOA Seminar Room 3-2;CHOW WAI KEONG;1;10/01/2022;17/04/2022;1943;
2021-22 Term 2 / 1;ACCT112;Management Accounting;;G1;1;TUE;08:15;11:30;SOA Seminar Room 3-1;AN-PING LIN;1;10/01/2022;17/04/2022;1092;
2021-22 Term 2 / 1;ACCT112;Management Accounting;;G2;1;TUE;15:30;18:45;SOA Seminar Room 2-1;AN-PING LIN;1;10/01/2022;17/04/2022;1171;
2021-22 Term 2 / 1;ACCT112;Management Accounting;;G3;1;WED;15:30;18:45;YPHSL Seminar Room 2-11;AN-PING LIN;1;10/01/2022;17/04/2022;1172;
2021-22 Term 2 / 1;ACCT112;Management Accounting;;G4;1;MON;08:15;11:30;SOA Seminar Room 1-1;PRASART JONGJAROENKAMOL;1;10/01/2022;17/04/2022;1173;
2021-22 Term 2 / 1;ACCT112;Management Accounting;;G5;1;MON;12:00;15:15;SOA Seminar Room 1-1;PRASART JONGJAROENKAMOL;1;10/01/2022;17/04/2022;1457;
2021-22 Term 2 / 1;ACCT112;Management Accounting;;G6;1;TUE;08:15;11:30;SOA Seminar Room 1-1;PRASART JONGJAROENKAMOL;1;10/01/2022;17/04/2022;1458;
2021-22 Term 2 / 1;ACCT112;Management Accounting;;G7;1;WED;08:15;11:30;SOA Seminar Room 3-4;KELLY NGO;1;10/01/2022;17/04/2022;1459;
2021-22 Term 2 / 1;ACCT112;Management Accounting;;G8;1;WED;15:30;18:45;SOA Seminar Room 3-3;KELLY NGO;1;10/01/2022;17/04/2022;1460;
2021-22 Term 2 / 1;ACCT112;Management Accounting;;SG81;1;;;;;PRASART JONGJAROENKAMOL;1;10/01/2022;17/04/2022;2721;
2021-22 Term 2 / 1;ACCT112;Management Accounting;;SG82;1;;;;;JIMMY LEE KIAT BEE;1;10/01/2022;17/04/2022;2843;
2021-22 Term 2 / 1;ACCT201;Corp Reporting & Fin Analysis;;G1;1;MON;12:00;15:15;SOA Seminar Room 3-5;ZANG YOONSEOK;1;10/01/2022;17/04/2022;1316;
2021-22 Term 2 / 1;ACCT201;Corp Reporting & Fin Analysis;;G2;1;TUE;08:15;11:30;SOA Seminar Room 3-2;ZANG YOONSEOK;1;10/01/2022;17/04/2022;1177;
2021-22 Term 2 / 1;ACCT201;Corp Reporting & Fin Analysis;;G3;1;TUE;15:30;18:45;SOA Seminar Room 2-5;ZANG YOONSEOK;1;10/01/2022;17/04/2022;1202;
2021-22 Term 2 / 1;ACCT201;Corp Reporting & Fin Analysis;;G4;1;WED;12:00;15:15;SOA Seminar Room 3-5;ZANG YOONSEOK;1;10/01/2022;17/04/2022;1206;
2021-22 Term 2 / 1;ACCT201;Corp Reporting & Fin Analysis;;G5;1;WED;15:30;18:45;SOA Seminar Room 2-1;CHARLES CHEN;1;10/01/2022;17/04/2022;2124;
2021-22 Term 2 / 1;ACCT201;Corp Reporting & Fin Analysis;;SG81;1;;;;;YOUNG JUN CHO;1;10/01/2022;17/04/2022;2844;
2021-22 Term 2 / 1;ACCT221;Accounting Information Systems;;G1;1;TUE;08:15;11:30;SOA Seminar Room 3-3;WONG SUAY PENG;1;10/01/2022;17/04/2022;1093;
2021-22 Term 2 / 1;ACCT221;Accounting Information Systems;;G2;1;WED;12:00;15:15;SOA Seminar Room 2-4;WONG SUAY PENG;1;10/01/2022;17/04/2022;1094;
2021-22 Term 2 / 1;ACCT221;Accounting Information Systems;;G3;1;THU;12:00;15:15;SOA Seminar Room 2-4;WONG SUAY PENG;1;10/01/2022;17/04/2022;1176;
2021-22 Term 2 / 1;ACCT223;Taxation;;G1;1;MON;15:30;18:45;SOA Seminar Room 3-3;JIMMY LEE KIAT BEE;1;10/01/2022;17/04/2022;1095;
2021-22 Term 2 / 1;ACCT223;Taxation;;G2;1;TUE;15:30;18:45;SOA Seminar Room 3-3;JIMMY LEE KIAT BEE;1;10/01/2022;17/04/2022;1096;
