term;course_code;title;topic;section;meet;day;start_time;end_time;venue;instructor;num_instructors;start_date;end_date;class_number;
2023-24 Term 2 / 1;ACCT001;Acctg Study Mission (AS);South Korea (Seoul);G1;1;FRI;12:00;15:15;SOA Seminar Room 3-4;ZANG YOONSEOK;1;08/01/2024;14/04/2024;2318;
2023-24 Term 2 / 1;ACCT001;Acctg Study Mission (AS);Hong Kong;G2;1;MON;15:30;18:45;SOA Seminar Room 3-2;YUANTO KUSNADI;1;08/01/2024;14/04/2024;2507;
2023-24 Term 2 / 1;ACCT101;Financial Accounting;;G1;1;THU;08:15;11:30;SOA Seminar Room 3-2;GRACE FAN;1;08/01/2024;14/04/2024;1072;
2023-24 Term 2 / 1;ACCT101;Financial Accounting;;G10;1;FRI;08:15;11:30;SOA Seminar Room 3-2;DARYL AW;1;08/01/2024;14/04/2024;1177;
2023-24 Term 2 / 1;ACCT101;Financial Accounting;;G11;1;FRI;12:00;15:15;SOA Seminar Room 3-2;DARYL AW;1;08/01/2024;14/04/2024;1181;
2023-24 Term 2 / 1;ACCT101;Financial Accounting;;G12;1;WED;08:15;11:30;SOA Seminar Room 3-1;LEE GEOK LIAN;1;08/01/2024;14/04/2024;1224;
2023-24 Term 2 / 1;ACCT101;Financial Accounting;;G13;1;THU;15:30;18:45;SOA Seminar Room 3-1;LEE GEOK LIAN;1;08/01/2024;14/04/2024;2139;
2023-24 Term 2 / 1;ACCT101;Financial Accounting;;G2;1;THU;15:30;18:45;SOA Seminar Room 3-2;GRACE FAN;1;08/01/2024;14/04/2024;1073;
2023-24 Term 2 / 1;ACCT101;Financial Accounting;;G3;1;TUE;12:00;15:15;SOA Seminar Room 1-1;NG RUIMIN, SHAPHAN HARUN;1;08/01/2024;14/04/2024;1074;
2023-24 Term 2 / 1;ACCT101;Financial Accounting;;G4;1;TUE;15:30;18:45;SOA Seminar Room 1-1;NG RUIMIN, SHAPHAN HARUN;1;08/01/2024;14/04/2024;1075;
2023-24 Term 2 / 1;ACCT101;Financial Accounting;;G5;1;MON;15:30;18:45;SOA Seminar Room 3-5;KELLY NGO;1;08/01/2024;14/04/2024;1076;
2023-24 Term 2 / 1;ACCT101;Financial Accounting;;G6;1;TUE;15:30;18:45;SOA Seminar Room 3-2;KELLY NGO;1;08/01/2024;14/04/2024;1077;
2023-24 Term 2 / 1;ACCT101;Financial Accounting;;G7;1;TUE;08:15;11:30;SOA Seminar Room 1-1;CHARMAYNE HIGHFIELD;1;08/01/2024;14/04/2024;1078;
2023-24 Term 2 / 1;ACCT101;Financial Accounting;;G8;1;THU;08:15;11:30;SOA Seminar Room 3-4;CHUA TESS;1;08/01/2024;14/04/2024;1097;
2023-24 Term 2 / 1;ACCT101;Financial Accounting;;G9;1;FRI;08:15;11:30;SOA Seminar Room 1-1;CHUA TESS;1;08/01/2024;14/04/2024;1142;
2023-24 Term 2 / 1;ACCT101;Financial Accounting;;SG81;1;;;;;CHARMAYNE HIGHFIELD;1;08/01/2024;14/04/2024;2701;
2023-24 Term 2 / 1;ACCT101;Financial Accounting;;SG82;1;;;;;DAVID SAMUEL;1;08/01/2024;14/04/2024;2777;
2023-24 Term 2 / 1;ACCT101;Financial Accounting;;SG83;1;;;;;YIN WANG;1;08/01/2024;14/04/2024;2778;
2023-24 Term 2 / 1;ACCT101;Financial Accounting;;SG84;1;;;;;LEE, YUN;1;08/01/2024;14/04/2024;2779;
2023-24 Term 2 / 1;ACCT102;Management Accounting;;G1;1;THU;08:15;11:30;SOA Seminar Room 2-3;KATHERINE YUEN;1;08/01/2024;14/04/2024;1079;
2023-24 Term 2 / 1;ACCT102;Management Accounting;;G2;1;THU;15:30;18:45;SOA Seminar Room 3-4;KATHERINE YUEN;1;08/01/2024;14/04/2024;1087;
2023-24 Term 2 / 1;ACCT102;Management Accounting;;G3;1;WED;15:30;18:45;SOA Seminar Room 3-5;KELLY NGO;1;08/01/2024;14/04/2024;1088;
2023-24 Term 2 / 1;ACCT102;Management Accounting;;G4;1;THU;12:00;15:15;SOA Seminar Room 1-1;KELLY NGO;1;08/01/2024;14/04/2024;1276;
2023-24 Term 2 / 1;ACCT102;Management Accounting;;G5;1;TUE;19:00;22:15;SOA Seminar Room 3-5;MICHELLE LIM SI JIA;1;08/01/2024;14/04/2024;1245;
2023-24 Term 2 / 1;ACCT102;Management Accounting;;G6;1;THU;19:00;22:15;SOA Seminar Room 3-5;MICHELLE LIM SI JIA;1;08/01/2024;14/04/2024;1096;
2023-24 Term 2 / 1;ACCT102;Management Accounting;;G7;1;MON;19:00;22:15;SOA Seminar Room 3-4;GARY LOW YU KAI;1;08/01/2024;14/04/2024;1149;
2023-24 Term 2 / 1;ACCT102;Management Accounting;;G8;1;WED;19:00;22:15;SOA Seminar Room 3-5;TAN WEI PENG, BRIAN;1;08/01/2024;14/04/2024;1150;
2023-24 Term 2 / 1;ACCT102;Management Accounting;;SG81;1;;;;;KELLY NGO;1;08/01/2024;14/04/2024;2700;
